frame_number,class_id,confidence,x,y,w,h
9,0,0.5236252,43331,98032,33176,138872
10,0,0.5242679,43287,98003,33144,138744
11,0,0.5849899,43507,99421,32683,138696
11,0,0.5142935,109637,142990,46313,163297
11,0,0.57824206,110335,145971,46358,169179
11,0,0.555129,43581,99282,32965,141167
11,0,0.51815635,109644,143287,46584,164344
11,0,0.5824763,110452,145725,46538,168045
12,0,0.59320706,43594,99860,32754,140354
12,0,0.52218145,43602,102539,32066,149079
12,0,0.50610006,109561,143195,46256,163660
12,0,0.5775329,110264,146398,46315,169849
12,0,0.5656176,43670,99780,33026,142713
12,0,0.5101966,109566,143509,46519,164677
12,0,0.58119094,110388,146187,46470,168712
13,0,0.5342935,46034,98107,35738,145854
13,0,0.64987063,46644,96758,37015,145523
13,0,0.5268932,46203,99611,34902,151368
13,0,0.5008681,112126,142680,40668,158143
13,0,0.53289837,111928,146449,40890,167255
13,0,0.50316894,46620,98223,37022,146080
13,0,0.6443764,46651,96485,37111,146688
13,0,0.5019987,46208,99659,35089,150987
13,0,0.53684103,112039,146063,41013,166096
14,0,0.5588189,46040,97593,36085,145860
14,0,0.6671418,46535,96089,37380,145588
14,0,0.521202,46252,98764,35346,151757
14,0,0.5181317,112200,142441,40875,157674
14,0,0.53847474,112074,146011,41046,166452
14,0,0.5320472,46538,97688,37272,146080
14,0,0.66150415,46535,95788,37477,146620
14,0,0.5094449,112212,142642,41119,159081
14,0,0.5426417,112185,145641,41150,165113
15,0,0.52109766,44779,96209,31492,144893
15,0,0.60640454,46086,95359,32998,142411
15,0,0.5754624,46022,95173,33319,143606
16,0,0.5541242,44887,96408,32117,145264
16,0,0.63489056,46013,95566,33425,142852
16,0,0.50840145,45287,96595,33091,145404
16,0,0.6119902,45967,95399,33652,144146
17,0,0.58381456,46737,94201,34718,143838
17,0,0.5555976,46662,94042,35075,145179
18,0,0.5905292,46675,94058,34911,143861
18,0,0.5654131,46617,93891,35209,145115
23,0,0.5470703,52667,91151,26873,109373
23,0,0.53112847,138456,155541,43840,137939
23,0,0.5160676,138492,155432,44052,137469
24,0,0.55382854,52666,90397,26981,108326
24,0,0.5422145,138452,155578,43788,138430
24,0,0.5267709,138483,155446,44001,137921
25,0,0.5215562,53255,99082,28593,126698
